従業員ID,名前,性別,生年月日,年齢,入社日,雇用形態,部署,役職,保有資格,現在の主要業務,対応可能な問い合わせカテゴリ,SlackID
E001,加藤沙織,女性,1990-05-22,49,2006-07-01,パート,情報システム部,なし,TOEIC 750,ヘルプデスク対応,ネットワーク接続の問題,
E002,水島朱里,女性,1976-04-21,30,2019-03-01,正社員,経理部,主任,行政書士,経費精算・管理,支払い方法の問い合わせ,
E003,伊藤真奈,女性,1997-07-21,30,2008-05-04,正社員,技術部,課長,ITパスポート,品質管理とテスト実施,バグ報告と修正対応,
E004,山本奈々,女性,1976-08-19,30,2021-06-04,正社員,技術部,部長,簿記2級,製品の技術サポート対応,バグ報告と修正対応,
E005,中川奈々,女性,1984-04-17,45,2022-03-12,正社員,総務部,主任,行政書士,社内設備・備品管理,社内施設の利用申請,
E006,原田薫,男性,1995-06-21,26,2015-06-22,業務委託,経理部,なし,簿記3級,財務諸表の作成,請求書の発行依頼,
E007,笹田朱莉,女性,1997-10-01,41,2005-10-09,正社員,技術部,一般社員,TOEIC 900,製品の技術サポート対応,システム障害の報告,
E008,山本和也,男性,1989-02-25,25,2001-04-03,派遣,技術部,なし,簿記2級,製品の技術サポート対応,技術的なトラブル対応,
E009,鈴木大輔,男性,1976-10-09,48,2010-04-19,パート,営業部,なし,行政書士,既存顧客へのフォローアップ,新規契約,
E010,齋藤太郎,男性,1985-08-19,39,2015-07-20,契約社員,技術部,なし,基本情報技術者,システムインフラの保守,製品の使用方法の問い合わせ,
E011,中村亮,男性,1992-02-03,31,2005-02-21,正社員,営業部,一般社員,行政書士,契約交渉とクロージング,法人向けサービスの問い合わせ,
E012,中本透,男性,1999-12-25,50,2019-03-26,派遣,総務部,なし,TOEIC 750,安全衛生管理の対応,社内イベントの問い合わせ,
E013,渡辺明日香,女性,1980-11-07,48,2015-01-15,正社員,経理部,一般社員,TOEIC 750,法人税・消費税の申告,経費精算に関する相談,
E014,田中優,女性,1991-03-26,26,2017-06-09,正社員,技術部,一般社員,なし,製品の技術サポート対応,バグ報告と修正対応,
E015,高田重里,女性,1980-05-08,43,2017-10-10,派遣,技術部,なし,簿記2級,システムインフラの保守,製品の使用方法の問い合わせ,
E016,田中一郎,男性,1997-12-07,50,2013-10-01,正社員,営業部,主任,基本情報技術者,契約交渉とクロージング,新規契約,
E017,金沢義昭,男性,1995-06-25,28,2002-11-01,正社員,営業部,一般社員,行政書士,既存顧客へのフォローアップ,新規契約,
E018,下田圭介,男性,1999-12-04,30,2009-07-01,契約社員,法務部,なし,行政書士,コンプライアンスチェック,知的財産に関する質問,
E019,加藤咲,女性,1989-03-05,48,2013-06-27,正社員,技術部,主任,基本情報技術者,ソフトウェアの設計・開発,システム障害の報告,
E020,綿野愛,女性,1985-06-15,28,2015-01-27,契約社員,経理部,なし,ITパスポート,経費精算・管理,支払い方法の問い合わせ,
E021,高橋由佳,女性,1982-12-05,34,2008-03-19,正社員,技術部,係長,なし,製品の技術サポート対応,技術的なトラブル対応,
E022,吉川麗奈,女性,1994-08-12,44,2015-03-27,正社員,技術部,部長,簿記3級,品質管理とテスト実施,バグ報告と修正対応,
E023,清水楓,女性,1984-08-22,48,2020-10-02,正社員,情報システム部,係長,TOEIC 900,ヘルプデスク対応,社内システムの障害対応,
E024,高橋悠介,男性,1996-06-23,47,2021-02-03,業務委託,技術部,なし,なし,ソフトウェアの設計・開発,システム障害の報告,
E025,津田涼香,女性,1994-02-07,27,2013-10-22,正社員,技術部,一般社員,簿記3級,製品の技術サポート対応,製品の使用方法の問い合わせ,
E026,棚橋由香里,女性,1985-08-26,42,2020-10-15,正社員,技術部,課長,TOEIC 750,品質管理とテスト実施,技術的なトラブル対応,
E027,和久田葵,女性,1984-04-18,35,2003-06-23,パート,情報システム部,なし,応用情報技術者,業務システムの導入と運用,アカウント管理,
E028,中村春菜,女性,1988-09-07,36,2020-02-24,正社員,営業部,次長,TOEIC 900,法人営業の新規顧客開拓,法人向けサービスの問い合わせ,
E029,小林莉央,女性,1993-06-10,25,2001-08-15,正社員,経理部,一般社員,なし,決算業務と監査対応,経費精算に関する相談,
E030,合田沙羅,女性,1978-06-08,44,2005-12-05,正社員,人事部,一般社員,簿記3級,社員の評価制度の運用,採用プロセスに関する質問,
E031,p_kentaro.yoshizawa,男性,1988-04-15,37,2011-04-01,正社員,技術部,係長,応用情報技術者,API開発と連携仕様の策定,システム連携エラー,
E032,yszwkntr00,男性,1995-09-20,30,2018-04-01,業務委託,情報システム部,なし,AWS認定,クラウドインフラの構築・監視,サーバー接続障害,
E033,p_kentaro.yoshizawa,男性,1983-11-30,42,2006-04-01,正社員,営業部,課長,TOEIC 800,大手顧客のアカウントマネジメント,契約更新・プラン変更,
E034,yszwkntr00,女性,1992-03-14,34,2014-04-01,正社員,人事部,主任,キャリアコンサルタント,中途採用の面接と進行管理,採用応募状況の確認,
E035,p_kentaro.yoshizawa,男性,1979-07-22,46,2002-04-01,正社員,総務部,部長,衛生管理者,オフィス環境の改善計画,ファシリティ関連の要望,
E036,yszwkntr00,女性,1998-05-10,27,2021-04-01,正社員,経理部,一般社員,簿記2級,小口現金の管理と仕訳入力,交通費精算のルール,
E037,yszwkntr00,男性,1990-01-18,36,2012-10-01,正社員,技術部,主任,プロジェクトマネージャ,新規プロジェクトの進捗管理,納期・スケジュールの相談,
E038,p_kentaro.yoshizawa,女性,1986-09-05,39,2009-04-01,パート,営業部,なし,秘書検定2級,営業資料の作成補助,見積書の作成依頼,
E039,p_kentaro.yoshizawa,男性,1994-12-12,31,2017-04-01,正社員,法務部,一般社員,ビジネス実務法務検定,契約書のリーガルチェック,秘密保持契約（NDA）,
E040,yszwkntr00,女性,1981-02-28,45,2003-04-01,正社員,技術部,課長,ITストラテジスト,技術戦略の立案と予算管理,開発リソースの調整,
E041,p_kentaro.yoshizawa,男性,1996-08-08,29,2019-06-01,派遣,総務部,なし,普通自動車免許,郵便物の管理と発送業務,郵送物の追跡・確認,
E042,yszwkntr00,女性,1993-11-20,32,2016-04-01,正社員,広報部,一般社員,TOEIC 850,プレスリリースの作成・配信,取材依頼の対応,
E043,p_kentaro.yoshizawa,男性,1975-06-15,50,1998-04-01,正社員,営業部,部長,中小企業診断士,営業目標の策定と予実管理,アライアンス提携の話,
E044,p_kentaro.yoshizawa,女性,1989-10-03,36,2012-04-01,正社員,情報システム部,主任,基本情報技術者,社内PCのキッティング,PC不具合・交換依頼,
E045,yszwkntr00,男性,2000-05-25,25,2023-04-01,正社員,技術部,一般社員,Java Silver,サーバーサイドの実装,プログラムの動作不良,
E046,yszwkntr00,女性,1984-01-11,42,2006-04-01,パート,経理部,なし,簿記3級,請求書のファイリングと整理,過去の請求書照会,
E047,p_kentaro.yoshizawa,男性,1991-07-30,34,2014-10-01,正社員,技術部,一般社員,Linux LPIC-1,運用スクリプトの作成,定期バッチ処理の失敗,
E048,yszwkntr00,女性,1995-03-03,30,2017-04-01,正社員,人事部,一般社員,メンタルヘルス・マネジメント,勤怠管理システムの運用,有給休暇・残業の申請,
E049,p_kentaro.yoshizawa,男性,1987-12-24,38,2010-04-01,正社員,技術部,係長,データベーススペシャリスト,DB設計とパフォーマンス調整,データ抽出依頼,
E050,p_kentaro.yoshizawa,女性,1999-09-09,26,2022-04-01,契約社員,営業部,なし,ITパスポート,インサイドセールス（架電）,サービス資料請求,
E051,yszwkntr00,男性,1982-05-17,43,2005-04-01,正社員,経営企画部,課長,MBA,中期経営計画の策定,新規事業の提案,
E052,yszwkntr00,女性,1997-02-14,29,2019-04-01,正社員,技術部,一般社員,基本情報技術者,フロントエンド開発（React）,画面表示崩れの報告,
E053,p_kentaro.yoshizawa,男性,1993-06-06,32,2016-04-01,正社員,技術部,主任,AWS認定,CI/CDパイプラインの構築,デプロイエラー,
